Course,Assigned Teachers,Required Classes,Assigned Classes,Gap
《资本论》与经济学思维,"('马艳王琳', '中文', 1)",1,1,0
《资本论》选读,"('张沁悦', '中文', 2)",2,2,0
中国经济分析,"('黄乃鑫', '中文', 1)",1,1,0
中国经济史（通识）,"('刁文天', '中文', 1)",1,1,0
中国经济思想史,"('程霖', '中文', 1), ('岳翔宇', '中文', 1)",2,2,0
中国经济思想史（通识）,"('王昉', '中文', 1)",1,1,0
中级宏观经济学,"('朱梅', '中文', 1), ('李双建', '中文', 1), ('李哲', '中文', 1), ('杨凯', '外语', 1), ('杨有智', '中文', 1), ('欧声亮', '中文', 1), ('王学博', '中文', 1), ('王玉琴', '中文', 1), ('罗大庆', '中文', 1), ('蔡洁', '中文', 2)",11,11,0
中级宏观经济学（中外）,"('李倩', '外语', 1)",1,1,0
中级微观经济学,"('Nathan Mudrick Schiff', '外语', 2), ('刘璐', '外语', 1), ('喻俊', '中文', 1), ('桂姗', '外语', 2), ('范翠红', '双语', 1), ('虎高计', '中文', 2), ('贺思民', '中文', 2), ('岳翔宇', '中文', 2), ('查丹燕', '外语', 2)",15,15,0
中级微观经济学（中外）,"('李倩', '外语', 2)",2,2,0
健康经济学,"('黄枫', '中文', 1)",1,1,0
决策的偏误与智慧,"('HUANG ZHENXING', '中文', 1)",1,1,0
博弈与社会,"('夏纪军', '中文', 1)",1,1,0
博弈论与信息经济学,"('孟大文', '中文', 2), ('张敏华', '双语', 1), ('Sambuddha Ghosh葛森', '外语', 2)",5,5,0
发展经济学（通识）,"('潘伟祥', '中文', 1)",1,1,0
外国经济史,"('孙林', '中文', 1)",1,1,0
大数据经济学,"('罗赛', '中文', 3)",3,3,0
宏观经济学,"('张婧屹', '中文', 1)",1,1,0
应用时间序列分析,"('周建', '中文', 1)",1,1,0
应用计量学,"('周亚虹', '中文', 1)",1,1,0
当代主要社会问题的经济分析,"('常进雄', '中文', 1)",1,1,0
微观经济学,"('严冬', '外语', 2), ('伍山林', '中文', 1), ('张慧丽', '中文', 1), ('张瑜', '中文', 2), ('朱冬妮', '中文', 1), ('陈旭东', '中文', 1), ('韩翔', '中文', 3), ('龙兴华', '中文', 1), ('潘伟祥', '中文', 2)",14,14,0
微观计量经济学,"('张杭辉', '中文', 1)",1,1,0
政治经济学,"('罗智红', '中文', 1), ('郎旭华', '中文', 1), ('严金强', '中文', 1)",3,3,0
政治经济学II,"('王琳', '中文', 1), ('陈波', '中文', 1), ('孙林', '中文', 1)",3,3,0
气候变化经济学,"('林立国', '中文', 1)",1,1,0
现代政治经济学热点问题,"('马艳冒佩华陈波张沁悦王琳严金强', '中文', 2)",2,2,0
经济学专题研究,"('龚关吴化斌', '中文', 1)",1,1,0
经济学原理,"('黄枫', '中文', 1), ('常进雄', '中文', 1)",2,2,0
经济学原理、思想与方法,"('周亚虹陈媛媛林立国', '中文', 1)",1,1,0
经济学学科前沿专题,"('龚关LUNG FEI LEE吴化斌', '中文', 1)",1,1,0
经济数据与因果推断,"('孙燕黄枫杨超', '中文', 1)",1,1,0
行为经济学与科学实验,"('姚澜', '中文', 1)",1,1,0
计量经济学,"('卢晓晖', '中文', 2), ('孙燕', '双语', 1), ('沈根祥', '中文', 1), ('陶佶', '中文', 1), ('周建', '中文', 1), ('金泽群', '中文', 1)",7,7,0
计量经济学（中外）,"('JIN XIN', '外语', 1)",1,1,0
金融衍生品理论与应用,"('金泽群', '中文', 1)",1,1,0
面向机器学习的计量经济学,"('张征宇卢晓晖金泽群', '中文', 1)",1,1,0
高等代数II,"('乔磊', '中文', 2)",2,2,0
高级微观经济学,"('唐前锋', '中文', 1), ('张永超', '中文', 1)",2,2,0