序号,课程号,课序号,课程名,课程属性,上课教师,上课周次,上课星期,上课节次,校区,上课地点,选课人数,考试方式,考试日期,考试时间,考试地点,监考,监考,监考
1,102305030,1,英语精读-4,必修,陈羽,1-13周,1,第1-2节,江安,江安综合楼B座B112,15,闭卷,6月7日,14:00-16:00,,,,
2,102305030,2,英语精读-4,必修,陈羽,1-13周,1,第3-4节,江安,江安综合楼B座B106,16,闭卷,6月7日,14:00-16:00,,,,
3,102305030,3,英语精读-4,必修,王锐俊,1-13周,2,第1-2节,江安,江安综合楼B座B109,20,闭卷,6月7日,14:00-16:00,,,,
4,102305030,4,英语精读-4,必修,王锐俊,1-13周,2,第3-4节,江安,江安综合楼B座B204,16,闭卷,6月7日,14:00-16:00,,,,
5,102305030,5,英语精读-4,必修,杨舒,1-13周,1,第1-2节,江安,江安综合楼B座B206,5,闭卷,6月7日,14:00-16:00,,,,
6,102305030,6,英语精读-4,必修,杨舒,1-13周,1,第3-4节,江安,江安综合楼B座B113,18,闭卷,6月7日,14:00-16:00,,,,
7,102305030,7,英语精读-4,必修,王绍洪,1-13周,2,第3-4节,江安,江安综合楼B座B109,4,闭卷,6月7日,14:00-16:00,,,,
8,102305030,8,英语精读-4,必修,王绍洪,1-13周,2,第1-2节,江安,江安综合楼B座B112,11,闭卷,6月7日,14:00-16:00,,,,
9,102295030,1,国际金融（全英文）,必修,薛昶,1-17周,2,第5-7节,江安,江安综合楼B座B505,16,闭卷,6月15日,10:00-12:00,,,,
10,102295030,3,国际金融（全英文）,必修,薛昶,1-17周,4,第5-7节,江安,江安综合楼B座B406,24,闭卷,6月15日,10:00-12:00,,,,
11,102295030,2,国际金融（全英文）,必修,薛昶,1-17周,3,第5-7节,江安,江安综合楼B座B612,31,闭卷,6月15日,10:00-12:00,,,,
12,102542030,1,宏观经济学,必修,于璐,1-17周,1,第5-7节,江安,江安综合楼B座B109,7,闭卷,6月16日,14:00-16:00,,,,
13,102370030,2,会计学（全英文）,选修,贾文,1-17周,1,第10-12节,江安,江安一教C座C304,20,闭卷,6月16日,19:30-21:30,,,,
14,102370030,1,会计学（全英文）,选修,贾文,1-17周,2,第10-12节,江安,江安一教C座C204,3,闭卷,6月16日,19:30-21:30,,,,
15,102529020,1,国际经济学,选修,祝梓翔,1-17周,2,第3-4节,江安,江安综合楼B座B503,47,闭卷,6月17日,10:00-12:00,,,,
16,102124030,1,世界经济概论,必修,严荔,1-17周,2,第5-7节,江安,江安一教C座C407,41,闭卷,6月17日,14:00-16:00,,,,
17,102554030,1,经济思想史,必修,唐永,9-17周,2,第5-7节,江安,江安综合楼B座B204,12,闭卷,6月17日,14:00-16:00,,,,
18,102643030,1,国际政治经济学,选修,米军,1-17周,2,第5-7节,江安,江安文科楼二区215,10,开卷,6月17日,14:00-16:00,,,,
19,102597020,1,商务英语阅读（Ⅰ）,任选,谢关平,2-17周,3,第1-2节,江安,江安综合楼B座B510,49,闭卷,6月18日,08:00-10:00,,,,
20,102036030,1,国际金融,必修,赵颖岚,1-17周,3,第1-3节,江安,江安一教A座A408,54,闭卷,6月18日,09:00-11:00,,,,
21,102018020,1,电子商务,选修,王悦,1-17周,3,第3-4节,江安,江安一教B座B104,70,闭卷,6月18日,10:30-12:30,,,,
22,102018020,2,电子商务,选修,王悦,1-17周,4,第3-4节,江安,江安一教A座A303,25,闭卷,6月18日,10:30-12:30,,,,
23,102342020,1,高级商务英语阅读与翻译,任选,谢关平,2-17周,3,第3-4节,江安,江安综合楼B座B605,50,闭卷,6月18日,10:30-12:30,,,,
24,102627030,1,中级政治经济学,必修,骆桢,1-17周,3,第5-7节,江安,江安综合楼B座B111,12,闭卷,6月18日,14:00-16:00,,,,
25,102559020,1,时间序列分析,必修,夏仕龙,1-17周,3,第8-9节,江安,江安综合楼B座B206,12,闭卷,6月18日,16:30-18:30,,,,
26,102634020,1,中国经济史,必修,唐永,1-17周,4,第8-9节,江安,江安综合楼B座B206,12,闭卷,6月18日,10:30-12:30,,,,
27,102526020,1,城市经济学,选修,周沂,1-17周,4,第1-2节,江安,江安一教C座C105,39,开卷,6月19日,08:00-10:00,,,,
28,102526020,2,城市经济学,选修,周沂,1-17周,4,第3-4节,江安,江安一教C座C105,38,开卷,6月19日,08:00-10:00,,,,
29,102818020,1,国际商务谈判,选修,严荔,1-17周,4,第3-4节,江安,江安一教A座A603,50,开卷,6月19日,10:30-12:30,,,,
30,102013030,1,产业经济学,必修,姚树荣,1-17周,2,第5-7节,江安,江安一教A座A609,70,闭卷,6月19日,14:00-16:00,,,,
31,102185020,1,管理学原理,选修,路征,1-17周,4,第8-9节,江安,江安一教A座A408,72,闭卷,6月19日,16:30-18:30,,,,
32,102583030,1,管理学原理,必修,邓丽,1-17周,3,第5-7节,江安,江安一教C座C404,35,闭卷,6月19日,19:00-21:00,,,,
33,102583030,2,管理学原理,必修,邓丽,1-17周,3,第10-12节,江安,江安一教C座C305,47,闭卷,6月19日,19:00-21:00,,,,
34,102001030,1,《资本论》选读,必修,段龙龙,1-17周,2,第1-3节,江安,江安文科楼二区212,81,闭卷,6月20日,14:00-16:00,,,,
35,102068030,1,会计学,必修,刘用明,1-17周,3,第1-3节,江安,江安综合楼B座B206,7,闭卷,6月20日,19:00-21:00,,,,
36,102068030,2,会计学,必修,刘用明,1-17周,3,第5-7节,江安,江安一教A座A106,67,闭卷,6月20日,19:00-21:00,,,,
37,102068030,4,会计学,必修,王悦,1-17周,3,第5-7节,江安,江安一教B座B505,87,闭卷,6月20日,19:00-21:00,,,,
38,102068030,5,会计学,必修,王悦,1-17周,4,第5-7节,江安,江安一教B座B104,99,闭卷,6月20日,19:00-21:00,,,,
39,102068030,6,会计学,必修,吴国平,1-17周,4,第5-7节,江安,江安一教B座B503,89,闭卷,6月20日,19:00-21:00,,,,
40,102603020,1,金融素养与投资理财,任选,贾立,2-17周,3,第8-9节,江安,江安一教C座C204,48,闭卷,6月20日,19:00-21:00,,,,
41,102603020,2,金融素养与投资理财,任选,谢蓓,2-17周,3,第5-6节,江安,江安一教C座C506,49,闭卷,6月20日,19:00-21:00,,,,
42,102319020,1,国际商法,选修,钱霞,1-17周,5,第1-2节,江安,江安一教C座C103,38,开卷,6月20日,19:00-21:00,,,,
43,102319020,2,国际商法,选修,钱霞,1-17周,5,第3-4节,江安,江安一教C座C103,38,开卷,6月20日,19:00-21:00,,,,
44,102437020,1,经济理论中的数学优化,必修,骆桢,1-17周,1,第3-4节,望江,望江二教103,43,闭卷,6月16日,10:30-12:30,,,,
45,102564020,1,新制度经济学（全英文）,必修,贺立龙,1-17周,1,第3-4节,望江,望江二教101,83,闭卷,6月16日,10:30-12:30,,,,
46,102540030,1,国民经济发展与管理前沿研究,必修,祝梓翔,1-8周,1,第5-7节,望江,望江三教413,67,闭卷,6月16日,14:00-16:00,,,,
47,102556030,1,跨国公司经营与管理,必修,张蕴中,1-17周,1,第5-7节,望江,望江二教104,46,闭卷,6月16日,14:00-16:00,,,,
48,102556030,2,跨国公司经营与管理,必修,张蕴中,1-17周,2,第5-7节,望江,望江二教103,16,闭卷,6月16日,14:00-16:00,,,,
49,102636020,1,中级政治经济学,必修,骆桢,1-17周,1,第8-9节,望江,望江二教206,87,闭卷,6月16日,16:30-18:30,,,,
50,102525030,1,财政制度比较研究,必修,段海英,1-17周,2,第1-3节,望江,望江三教407,33,闭卷,6月17日,08:00-10:00,,,,
51,102525030,2,财政制度比较研究,必修,段海英,1-17周,2,第5-7节,望江,望江三教112,23,闭卷,6月17日,08:00-10:00,,,,
52,102104020,1,经贸英语翻译,选修,谢关平,1-17周,2,第3-4节,望江,望江三教410,50,闭卷,6月17日,10:30-12:00,,,,
53,102328020,1,环境与资源经济学,必修,曹翔,1-17周,2,第3-4节,望江,望江二教101,90,开卷,6月17日,10:30-12:00,,,,
54,102962020,1,数字经济学导论,选修,刘勇,1-17周,2,第3-4节,望江,望江二教104,23,开卷,6月17日,10:30-12:00,,,,
55,102557030,1,商业银行业务与经营（全英文）,必修,向宇,1-17周,2,第5-7节,望江,望江三教413,73,闭卷,6月17日,14:30-12:00,,,,
56,102621030,1,金融知识普及：大学生必备的金融学常识,任选,夏仕龙,2-17周,2,第5-7节,望江,望江二教311,13,开卷,6月17日,14:00-16:00,,,,
57,102332020,1,投资银行理论与实务,必修,贾立,1-17周,4,第3-4节,望江,望江基教楼A座A305,40,闭卷,6月17日,19:00-21:00,,,,
58,102332020,2,投资银行理论与实务,必修,贾立,1-17周,4,第5-6节,望江,望江基教楼A座A305,29,闭卷,6月17日,19:00-21:00,,,,
59,102371030,1,国际贸易实务（全英文）,选修,贾文,1-17周,3,第10-12节,望江,望江二教103,23,开卷,6月18日,19:30-21:30,,,,
60,102531030,1,国际贸易实务,必修,孙瑶,1-17周,2,第5-7节,望江,望江三教310,26,闭卷,6月19日,14:00-16:00,,,,
61,102531030,3,国际贸易实务,必修,蒋国庆,1-17周,4,第1-3节,望江,望江三教407,6,闭卷,6月19日,14:00-16:00,,,,
62,102531030,2,国际贸易实务,必修,蒋国庆,1-17周,4,第5-7节,望江,望江三教406,18,闭卷,6月19日,14:00-16:00,,,,
63,102013030,2,产业经济学,选修,李晓波,1-17周,4,第1-3节,望江,望江二教104,15,闭卷,6月19日,14:00-16:00,,,,
64,102013030,3,产业经济学,选修,李晓波,1-17周,4,第5-7节,望江,望江二教104,12,闭卷,6月19日,14:00-16:00,,,,
65,102134020,1,投资项目评估,选修,韩冰,1-17周,5,第3-4节,望江,望江三教313,30,闭卷,6月19日,16:30-18:30,,,,
66,102134020,2,投资项目评估,必修,韩冰,1-17周,4,第8-9节,望江,望江基教楼A座A308,55,闭卷,6月19日,16:30-18:30,,,,
67,102343020,1,职业形象与职业礼仪,任选,吴永红,2-17周,4,第8-9节,望江,望江二教311,13,开卷,6月19日,16:30-18:30,,,,
68,102115020,1,商务谈判,必修,严荔,1-17周,4,第8-9节,望江,望江基教楼A座A604,52,开卷,6月19日,17:00-19:00,,,,
69,102131020,1,税务代理,选修,王强,1-17周,5,第3-4节,望江,望江三教206,14,开卷,6月20日,10:00–12:00,,,,
70,102802020,1,创业金融学,选修,顾婧,1-17周,5,第3-4节,望江,望江三教215,24,开卷,6月20日,10:30-12:30,,,,
71,102001030,2,《资本论》选读,必修,唐永,1-17周,4,第1-3节,望江,望江三教313,50,闭卷,6月20日,14:00-16:00,,,,
72,102068030,3,会计学,必修,刘用明,1-17周,2,第5-7节,望江,望江基教楼A座A316,39,闭卷,6月20日,19:00-21:00,,,,
73,102523030,2,财政管理,必修,王强,1-17周,3,第1-3节,望江,望江二教311,16,闭卷,6月20日,19:00-21:00,,,,
74,102523030,1,财政管理,必修,王强,1-17周,3,第5-7节,望江,望江三教413,30,闭卷,6月20日,19:00-21:00,,,,
